id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.lga,children_count.district,children_count.ward,zip_codes,geo.lat,geo.lon
GM0604,2,District,District,Lower Niumi,Lower Niumi,lower-niumi-gm0604,GM0604,,GM06,North Bank,North Bank,,,2,,13.506,-16.427
GM0605,2,District,District,Illiassa,Illiassa,illiassa-gm0605,GM0605,,GM06,North Bank,North Bank,,,4,,13.524,-15.703
GM0606,2,District,District,Upper Niumi,Upper Niumi,upper-niumi-gm0606,GM0606,,GM06,North Bank,North Bank,,,2,,13.43,-16.338
GM0607,2,District,District,Sabach - Sanjal,Sabach - Sanjal,sabach-sanjal-gm0607,GM0607,,GM06,North Bank,North Bank,,,2,,13.545,-15.47
GM07,1,Local Government Area,Local Government Area,Central River North,Central River North,central-river-north-gm07,GM07,,,,,,5,10,,13.628,-14.853
GM0701,2,District,District,Lower Saloum,Lower Saloum,lower-saloum-gm0701,GM0701,,GM07,Central River North,Central River North,,,2,,13.704,-15.364
GM0702,2,District,District,Niani,Niani,niani-gm0702,GM0702,,GM07,Central River North,Central River North,,,2,,13.675,-14.845
GM0703,2,District,District,Nianija,Nianija,nianija-gm0703,GM0703,,GM07,Central River North,Central River North,,,1,,13.717,-15.129
GM0704,2,District,District,Sami,Sami,sami-gm0704,GM0704,,GM07,Central River North,Central River North,,,3,,13.545,-14.694
GM0705,2,District,District,Upper Saloum,Upper Saloum,upper-saloum-gm0705,GM0705,,GM07,Central River North,Central River North,,,2,,13.733,-15.247
GM08,1,Local Government Area,Local Government Area,Lower River,Lower River,lower-river-gm08,GM08,,,,,,6,12,,13.4,-15.704
GM0801,2,District,District,Jarra Central,Jarra Central,jarra-central-gm0801,GM0801,,GM08,Lower River,Lower River,,,2,,13.413,-15.415
GM0802,2,District,District,Jarra East,Jarra East,jarra-east-gm0802,GM0802,,GM08,Lower River,Lower River,,,2,,13.452,-15.261
GM0803,2,District,District,Jarra West,Jarra West,jarra-west-gm0803,GM0803,,GM08,Lower River,Lower River,,,2,,13.444,-15.542
GM0804,2,District,District,Kiang Central,Kiang Central,kiang-central-gm0804,GM0804,,GM08,Lower River,Lower River,,,2,,13.409,-15.756
GM0805,2,District,District,Kiang East,Kiang East,kiang-east-gm0805,GM0805,,GM08,Lower River,Lower River,,,2,,13.418,-15.644
GM0806,2,District,District,Kiang West,Kiang West,kiang-west-gm0806,GM0806,,GM08,Lower River,Lower River,,,2,,13.345,-16.009
